school,major,province,year,exam_type,min_score,min_rank
北京大学,经济学类,广东,2025,物理类,689,99
中国人民大学,经济学类,广东,2025,物理类,679,388
中国人民大学,管理学类,广东,2025,物理类,672,823
清华大学,体育学类,广东,2025,物理类,688,118
北京交通大学,教育学类,广东,2025,物理类,620,13967
北京交通大学(中外合作办学),新闻传播学类,广东,2025,物理类,613,18152
北京交通大学(中外合作办学),建筑类,广东,2025,物理类,611,19398
北京交通大学(中外合作办学),外国语言文学类,广东,2025,物理类,617,15604
北京交通大学,中国语言文学类,广东,2025,物理类,637,7166
北京交通大学,艺术设计类,广东,2025,物理类,633,8612
北京工业大学,法学类,广东,2025,物理类,603,24588
北京航空航天大学,管理学类,广东,2025,物理类,668,1173
北京航空航天大学(中外合作办学),建筑类,广东,2025,物理类,646,4469
北京理工大学,法学类,广东,2025,物理类,666,1331
北京理工大学(中外合作办学),经济学类,广东,2025,物理类,632,8848
北京理工大学,管理学类,广东,2025,物理类,670,937
北京科技大学,中国语言文学类,广东,2025,物理类,620,14161
北京科技大学,艺术设计类,广东,2025,物理类,619,14686
北京科技大学,生物科学类,广东,2025,物理类,616,16299
北京化工大学,教育学类,广东,2025,物理类,609,20291
北京化工大学,新闻传播学类,广东,2025,物理类,607,22003
北京化工大学(中外合作办学),建筑类,广东,2025,物理类,593,32547
北京化工大学(中外合作办学),外国语言文学类,广东,2025,物理类,593,32317
北京化工大学,中国语言文学类,广东,2025,物理类,612,18238
北京工商大学,体育学类,广东,2025,物理类,566,60388
北京工商大学,法学类,广东,2025,物理类,558,70089
北京服装学院,管理学类,广东,2025,物理类,535,104603
北京服装学院,教育学类,广东,2025,物理类,533,106555
北京服装学院,新闻传播学类,广东,2025,物理类,534,105856
北京邮电大学,体育学类,广东,2025,物理类,635,7767
北京邮电大学(中外合作办学),法学类,广东,2025,物理类,620,13955
北京邮电大学,经济学类,广东,2025,物理类,657,2398
北京邮电大学(中外合作办学),管理学类,广东,2025,物理类,612,18564
北京印刷学院,经济学类,广东,2025,物理类,552,77981
北京印刷学院,管理学类,广东,2025,物理类,543,91448
北京建筑大学,物理学类,广东,2025,物理类,574,50596
北京建筑大学,体育学类,广东,2025,物理类,557,71141
北京石油化工学院,物理学类,广东,2025,物理类,548,83886
北京石油化工学院,体育学类,广东,2025,物理类,552,78351
中国农业大学(中外合作办学),管理学类,广东,2025,物理类,604,23636
中国农业大学,教育学类,广东,2025,物理类,614,17428
中国农业大学,建筑类,广东,2025,物理类,618,14948
北京林业大学,口腔医学类,广东,2025,物理类,590,35094
北京林业大学,护理学类,广东,2025,物理类,587,37298
北京林业大学,电子信息类,广东,2025,物理类,593,31810
北京林业大学,自动化类,广东,2025,物理类,587,37411
北京林业大学,水利类,广东,2025,物理类,585,39242
北京林业大学,交通运输类,广东,2025,物理类,599,27312
北京林业大学(中外合作办学),海洋科学类,广东,2025,物理类,574,50162
北京林业大学,兵器类,广东,2025,物理类,586,38482
北京林业大学,核工程类,广东,2025,物理类,595,30729
北京中医药大学,外国语言文学类,广东,2025,物理类,597,28849
北京中医药大学,生物科学类,广东,2025,物理类,602,24867
北京师范大学,艺术设计类,广东,2025,物理类,639,6364
北京师范大学,化学类,广东,2025,物理类,645,4899
首都师范大学,建筑类,广东,2025,物理类,599,27545
首都师范大学,外国语言文学类,广东,2025,物理类,611,18891
首都师范大学,中国语言文学类,广东,2025,物理类,599,27762
首都师范大学,艺术设计类,广东,2025,物理类,594,31598
首都体育学院,法学类,广东,2025,物理类,554,75816
北京外国语大学,生物科学类,广东,2025,物理类,606,22604
北京外国语大学,材料类,广东,2025,物理类,619,14755
北京外国语大学,计算机类,广东,2025,物理类,615,16825
北京外国语大学(中外合作办学),历史学类,广东,2025,物理类,591,33701
北京第二外国语学院,教育学类,广东,2025,物理类,556,72839
北京语言大学,化学类,广东,2025,物理类,571,54292
北京语言大学(中外合作办学),材料类,广东,2025,物理类,521,127733
北京语言大学,计算机类,广东,2025,物理类,581,43421
北京语言大学,历史学类,广东,2025,物理类,576,48019
