school,major,province,year,exam_type,min_score,min_rank
北京大学,物理学类,广东,2024,物理类,689,85
中国人民大学,数学类,广东,2024,物理类,663,1215
中国人民大学,物理学类,广东,2024,物理类,667,831
清华大学,数学类,广东,2024,物理类,692,53
清华大学,物理学类,广东,2024,物理类,688,97
北京交通大学,数学类,广东,2024,物理类,594,25890
北京交通大学,体育学类,广东,2024,物理类,615,13369
北京交通大学(中外合作办学),法学类,广东,2024,物理类,606,18214
北京交通大学(中外合作办学),经济学类,广东,2024,物理类,606,18307
北京交通大学,管理学类,广东,2024,物理类,627,8570
北京工业大学,哲学类,广东,2024,物理类,610,16132
北京工业大学,数学类,广东,2024,物理类,600,21717
北京工业大学,物理学类,广东,2024,物理类,617,12677
北京工业大学,体育学类,广东,2024,物理类,613,14430
北京航空航天大学,数学类,广东,2024,物理类,657,1822
北京航空航天大学(中外合作办学),经济学类,广东,2024,物理类,641,4528
北京理工大学(中外合作办学),数学类,广东,2024,物理类,611,15502
北京理工大学,物理学类,广东,2024,物理类,656,1983
北京理工大学(珠海校区),体育学类,广东,2024,物理类,665,1031
北京科技大学,体育学类,广东,2024,物理类,614,13928
北京科技大学,法学类,广东,2024,物理类,613,14438
北京科技大学,经济学类,广东,2024,物理类,612,14724
北京化工大学,数学类,广东,2024,物理类,604,19455
北京化工大学,物理学类,广东,2024,物理类,601,21313
北京化工大学(中外合作办学),体育学类,广东,2024,物理类,589,29569
北京化工大学(中外合作办学),法学类,广东,2024,物理类,589,29646
北京工商大学,哲学类,广东,2024,物理类,568,49203
北京工商大学,数学类,广东,2024,物理类,550,70559
北京服装学院,数学类,广东,2024,物理类,538,87266
北京服装学院,物理学类,广东,2024,物理类,529,100249
北京邮电大学,哲学类,广东,2024,物理类,651,2681
北京邮电大学,数学类,广东,2024,物理类,628,8242
北京印刷学院,数学类,广东,2024,物理类,543,79037
北京印刷学院,物理学类,广东,2024,物理类,540,83275
北京建筑大学,哲学类,广东,2024,物理类,558,60428
北京建筑大学,数学类,广东,2024,物理类,569,47773
北京建筑大学,物理学类,广东,2024,物理类,567,49883
北京石油化工学院,哲学类,广东,2024,物理类,514,123780
北京石油化工学院,数学类,广东,2024,物理类,550,70044
北京石油化工学院,物理学类,广东,2024,物理类,544,78746
中国农业大学,数学类,广东,2024,物理类,610,16237
中国农业大学(中外合作办学),物理学类,广东,2024,物理类,593,27048
中国农业大学,体育学类,广东,2024,物理类,610,15801
北京林业大学,管理学类,广东,2024,物理类,580,37424
北京林业大学,教育学类,广东,2024,物理类,582,35472
北京林业大学,外国语言文学类,广东,2024,物理类,590,29366
北京林业大学,中国语言文学类,广东,2024,物理类,578,39221
北京林业大学,艺术设计类,广东,2024,物理类,578,39416
北京林业大学,化学类,广东,2024,物理类,594,26094
北京林业大学(中外合作办学),材料类,广东,2024,物理类,573,44688
北京林业大学,计算机类,广东,2024,物理类,581,36675
北京林业大学,地理科学类,广东,2024,物理类,592,27772
北京中医药大学,物理学类,广东,2024,物理类,583,34968
北京中医药大学,体育学类,广东,2024,物理类,592,27086
北京师范大学,体育学类,广东,2024,物理类,637,5671
北京师范大学,经济学类,广东,2024,物理类,642,4352
首都师范大学,物理学类,广东,2024,物理类,594,25639
首都体育学院,数学类,广东,2024,物理类,539,84624
北京外国语大学,体育学类,广东,2024,物理类,619,11520
北京外国语大学,法学类,广东,2024,物理类,605,18756
北京外国语大学,经济学类,广东,2024,物理类,612,14729
北京外国语大学,管理学类,广东,2024,物理类,615,13205
北京第二外国语学院,体育学类,广东,2024,物理类,579,37918
北京第二外国语学院,法学类,广东,2024,物理类,551,68743
北京语言大学,物理学类,广东,2024,物理类,560,58696
北京语言大学,体育学类,广东,2024,物理类,530,99398
北京语言大学,法学类,广东,2024,物理类,576,41271
北京语言大学,经济学类,广东,2024,物理类,568,49380
中国传媒大学,体育学类,广东,2024,物理类,595,25017
中国传媒大学(中外合作办学),法学类,广东,2024,物理类,596,24675
