school,major,province,year,exam_type,min_score,min_rank
北京大学,法学类,广东,2025,历史类,669.0,28.0
中国人民大学,法学类,广东,2025,历史类,655.0,148.0
中国人民大学,教育学类,广东,2025,历史类,666.0,47.0
清华大学,物理学类,广东,2025,历史类,675.0,13.0
北京交通大学,法学类,广东,2025,历史类,610.0,3242.0
北京交通大学,管理学类,广东,2025,历史类,609.0,3429.0
北京航空航天大学,经济学类,广东,2025,历史类,641.0,493.0
北京理工大学,体育学类,广东,2025,历史类,621.0,1840.0
北京科技大学,新闻传播学类,广东,2025,历史类,603.0,4596.0
北京化工大学,管理学类,广东,2025,历史类,590.0,7555.0
北京服装学院,经济学类,广东,2025,历史类,546.0,26327.0
北京印刷学院,法学类,广东,2025,历史类,557.0,20426.0
中国农业大学,法学类,广东,2025,历史类,614.0,2725.0
中国农业大学(中外合作办学),经济学类,广东,2025,历史类,596.0,6000.0
中国农业大学,新闻传播学类,广东,2025,历史类,605.0,4208.0
北京林业大学,农林科学类,广东,2025,历史类,595.0,6372.0
北京林业大学,林业工程类,广东,2025,历史类,591.0,7300.0
北京林业大学,药学类,广东,2025,历史类,596.0,6004.0
北京林业大学,临床医学类,广东,2025,历史类,590.0,7654.0
北京中医药大学,教育学类,广东,2025,历史类,594.0,6531.0
北京师范大学,外国语言文学类,广东,2025,历史类,642.0,469.0
北京师范大学,历史学类,广东,2025,历史类,628.0,1187.0
首都师范大学,教育学类,广东,2025,历史类,596.0,5991.0
首都体育学院,体育学类,广东,2025,历史类,547.0,25615.0
北京外国语大学,外国语言文学类,广东,2025,历史类,617.0,2308.0
北京外国语大学,中国语言文学类,广东,2025,历史类,616.0,2425.0
北京外国语大学(中外合作办学),艺术设计类,广东,2025,历史类,606.0,3906.0
北京第二外国语学院,法学类,广东,2025,历史类,591.0,7496.0
北京第二外国语学院,经济学类,广东,2025,历史类,574.0,13154.0
北京第二外国语学院,管理学类,广东,2025,历史类,587.0,8551.0
北京语言大学,外国语言文学类,广东,2025,历史类,590.0,7750.0
北京语言大学(中外合作办学),中国语言文学类,广东,2025,历史类,540.0,29955.0
北京语言大学,艺术设计类,广东,2025,历史类,590.0,7657.0
中国传媒大学,教育学类,广东,2025,历史类,610.0,3331.0
中国传媒大学,新闻传播学类,广东,2025,历史类,612.0,2922.0
中国传媒大学(中外合作办学),建筑类,广东,2025,历史类,603.0,4555.0
中国传媒大学,化学类,广东,2025,历史类,614.0,2666.0
中央财经大学,经济学类,广东,2025,历史类,617.0,2324.0
中央财经大学(中外合作办学),管理学类,广东,2025,历史类,611.0,3094.0
对外经济贸易大学,管理学类,广东,2025,历史类,618.0,2176.0
北京物资学院,体育学类,广东,2025,历史类,560.0,19068.0
首都经济贸易大学,体育学类,广东,2025,历史类,588.0,8332.0
北京体育大学,化学类,广东,2025,历史类,588.0,8250.0
北京体育大学,材料类,广东,2025,历史类,583.0,9828.0
北京体育大学(中外合作办学),计算机类,广东,2025,历史类,542.0,28624.0
中国音乐学院,物理学类,广东,2025,历史类,581.0,10623.0
中央美术学院,经济学类,广东,2025,历史类,591.0,7548.0
中央美术学院(中外合作办学),管理学类,广东,2025,历史类,580.0,10923.0
中央戏剧学院,体育学类,广东,2025,历史类,582.0,10371.0
中国戏曲学院,经济学类,广东,2025,历史类,573.0,13564.0
中国戏曲学院,管理学类,广东,2025,历史类,562.0,18392.0
中国戏曲学院,教育学类,广东,2025,历史类,580.0,11046.0
北京电影学院,哲学类,广东,2025,历史类,599.0,5482.0
北京电影学院,数学类,广东,2025,历史类,590.0,7680.0
北京电影学院,物理学类,广东,2025,历史类,590.0,7603.0
北京电影学院,教育学类,广东,2025,历史类,595.0,6309.0
北京电影学院,新闻传播学类,广东,2025,历史类,597.0,5972.0
北京电影学院,建筑类,广东,2025,历史类,589.0,8152.0
中央民族大学,材料类,广东,2025,历史类,610.0,3256.0
中国政法大学,经济学类,广东,2025,历史类,619.0,2061.0
中国政法大学,管理学类,广东,2025,历史类,618.0,2177.0
华北电力大学(北京),法学类,广东,2025,历史类,594.0,6607.0
南开大学,体育学类,广东,2025,历史类,632.0,964.0
天津大学,法学类,广东,2025,历史类,611.0,3157.0
天津大学(中外合作办学),经济学类,广东,2025,历史类,593.0,6775.0
天津科技大学,教育学类,广东,2025,历史类,561.0,18774.0
天津科技大学(中外合作办学),新闻传播学类,广东,2025,历史类,560.0,19127.0
天津工业大学,中国语言文学类,广东,2025,历史类,575.0,12846.0
天津工业大学,林业工程类,广东,2025,历史类,554.0,22296.0
中国民航大学,教育学类,广东,2025,历史类,567.0,16052.0
中国民航大学,外国语言文学类,广东,2025,历史类,569.0,15152.0
天津中医药大学,法学类,广东,2025,历史类,560.0,18899.0
天津中医药大学,经济学类,广东,2025,历史类,554.0,21908.0
天津师范大学,材料类,广东,2025,历史类,551.0,23666.0
天津师范大学,计算机类,广东,2025,历史类,549.0,24760.0
天津外国语大学,哲学类,广东,2025,历史类,563.0,17938.0
天津外国语大学,数学类,广东,2025,历史类,553.0,22766.0
天津外国语大学,物理学类,广东,2025,历史类,560.0,19374.0
天津外国语大学,体育学类,广东,2025,历史类,566.0,16394.0
天津外国语大学(中外合作办学),法学类,广东,2025,历史类,552.0,23070.0
天津商业大学,新闻传播学类,广东,2025,历史类,547.0,25624.0
天津商业大学,建筑类,广东,2025,历史类,544.0,27293.0
天津商业大学,外国语言文学类,广东,2025,历史类,545.0,26854.0
天津商业大学(中外合作办学),中国语言文学类,广东,2025,历史类,546.0,26221.0
天津财经大学,管理学类,广东,2025,历史类,562.0,18248.0
天津财经大学(中外合作办学),教育学类,广东,2025,历史类,558.0,20181.0
天津体育学院,教育学类,广东,2025,历史类,534.0,33166.0
天津体育学院,新闻传播学类,广东,2025,历史类,523.0,40805.0
天津体育学院,建筑类,广东,2025,历史类,514.0,47123.0
天津美术学院,体育学类,广东,2025,历史类,536.0,32227.0
河北地质大学,体育学类,广东,2025,历史类,533.0,34295.0
华北电力大学(保定),经济学类,广东,2025,历史类,583.0,10068.0
华北理工大学(联合培养),中国语言文学类,广东,2025,历史类,521.0,41913.0
华北理工大学,艺术设计类,广东,2025,历史类,552.0,23019.0
华北理工大学,生物科学类,广东,2025,历史类,536.0,32226.0
河北医科大学,法学类,广东,2025,历史类,546.0,26406.0
河北师范大学,体育学类,广东,2025,历史类,550.0,24225.0
衡水学院,中国语言文学类,广东,2025,历史类,519.0,43517.0
邢台学院,物理学类,广东,2025,历史类,519.0,43678.0
沧州师范学院,物理学类,广东,2025,历史类,518.0,44350.0
石家庄铁道大学,经济学类,广东,2025,历史类,536.0,32215.0
山西大学,物理学类,广东,2025,历史类,576.0,12567.0
中北大学,材料类,广东,2025,历史类,534.0,33761.0
山西农业大学,教育学类,广东,2025,历史类,524.0,39784.0
山西农业大学,新闻传播学类,广东,2025,历史类,529.0,36595.0
山西医科大学,经济学类,广东,2025,历史类,523.0,40396.0
山西师范大学,新闻传播学类,广东,2025,历史类,541.0,28859.0
山西大同大学,体育学类,广东,2025,历史类,519.0,43516.0
山西财经大学,体育学类,广东,2025,历史类,540.0,29471.0
内蒙古大学,中国语言文学类,广东,2025,历史类,568.0,15361.0
内蒙古大学,艺术设计类,广东,2025,历史类,586.0,9049.0
内蒙古大学,生物科学类,广东,2025,历史类,564.0,17392.0
内蒙古大学,化学类,广东,2025,历史类,561.0,18708.0
内蒙古大学,材料类,广东,2025,历史类,570.0,14603.0
内蒙古科技大学,经济学类,广东,2025,历史类,519.0,43313.0
内蒙古科技大学,管理学类,广东,2025,历史类,520.0,42923.0
内蒙古农业大学,法学类,广东,2025,历史类,517.0,44727.0
内蒙古师范大学,教育学类,广东,2025,历史类,510.0,50039.0
内蒙古师范大学,新闻传播学类,广东,2025,历史类,527.0,37886.0
内蒙古民族大学,法学类,广东,2025,历史类,516.0,45292.0
辽宁大学,哲学类,广东,2025,历史类,587.0,8487.0
辽宁大学,数学类,广东,2025,历史类,576.0,12327.0
辽宁大学(中外合作办学),物理学类,广东,2025,历史类,570.0,14790.0
辽宁大学(中外合作办学),体育学类,广东,2025,历史类,575.0,12898.0
辽宁大学(中外合作办学),法学类,广东,2025,历史类,557.0,20688.0
辽宁大学(中外合作办学),经济学类,广东,2025,历史类,575.0,12694.0
辽宁大学(中外合作办学),管理学类,广东,2025,历史类,578.0,11838.0
大连理工大学,管理学类,广东,2025,历史类,603.0,4617.0
辽宁工程技术大学,经济学类,广东,2025,历史类,524.0,40276.0
辽宁工程技术大学,管理学类,广东,2025,历史类,520.0,42541.0
大连交通大学(中外合作办学),法学类,广东,2025,历史类,533.0,34073.0
大连海事大学,建筑类,广东,2025,历史类,589.0,8114.0
大连海事大学,外国语言文学类,广东,2025,历史类,584.0,9499.0
大连海事大学(中外合作办学),中国语言文学类,广东,2025,历史类,605.0,4187.0
大连工业大学,新闻传播学类,广东,2025,历史类,522.0,41261.0
大连工业大学,建筑类,广东,2025,历史类,532.0,34556.0
辽宁中医药大学,哲学类,广东,2025,历史类,566.0,16196.0
辽宁中医药大学,数学类,广东,2025,历史类,514.0,46758.0
辽宁师范大学(中外合作办学),体育学类,广东,2025,历史类,520.0,43033.0
沈阳师范大学(中外合作办学),数学类,广东,2025,历史类,515.0,46208.0
渤海大学,哲学类,广东,2025,历史类,538.0,30730.0
渤海大学,数学类,广东,2025,历史类,511.0,49348.0
鞍山师范学院,物理学类,广东,2025,历史类,520.0,42849.0
大连外国语大学,经济学类,广东,2025,历史类,567.0,16090.0
