school,major,province,year,exam_type,min_score,min_rank
北京大学,数学类,广东,2023,历史类,670,31
中国人民大学,哲学类,广东,2023,历史类,653,149
清华大学,哲学类,广东,2023,历史类,674,14
北京交通大学,哲学类,广东,2023,历史类,598,3640
北京交通大学,数学类,广东,2023,历史类,602,3143
北京航空航天大学,哲学类,广东,2023,历史类,626,999
北京理工大学,哲学类,广东,2023,历史类,613,1910
北京化工大学,哲学类,广东,2023,历史类,584,5950
北京服装学院,哲学类,广东,2023,历史类,531,23040
北京印刷学院,哲学类,广东,2023,历史类,540,19058
中国农业大学(中外合作办学),法学类,广东,2023,历史类,596,3919
北京林业大学,哲学类,广东,2023,历史类,577,7400
北京林业大学,数学类,广东,2023,历史类,592,4588
北京中医药大学,哲学类,广东,2023,历史类,581,6509
北京师范大学,哲学类,广东,2023,历史类,642,390
北京师范大学,教育学类,广东,2023,历史类,635,629
首都师范大学,哲学类,广东,2023,历史类,588,5109
首都师范大学,数学类,广东,2023,历史类,588,5106
首都体育学院,哲学类,广东,2023,历史类,538,19960
北京外国语大学,数学类,广东,2023,历史类,608,2441
北京外国语大学,物理学类,广东,2023,历史类,620,1359
北京第二外国语学院,哲学类,广东,2023,历史类,579,7007
北京第二外国语学院,数学类,广东,2023,历史类,561,11480
北京第二外国语学院,物理学类,广东,2023,历史类,580,6730
北京语言大学,哲学类,广东,2023,历史类,581,6480
北京语言大学,数学类,广东,2023,历史类,579,7001
北京语言大学,物理学类,广东,2023,历史类,603,3011
中国传媒大学,数学类,广东,2023,历史类,603,2913
中国传媒大学(中外合作办学),体育学类,广东,2023,历史类,605,2720
中央财经大学,数学类,广东,2023,历史类,614,1806
对外经济贸易大学,哲学类,广东,2023,历史类,613,1904
北京物资学院,哲学类,广东,2023,历史类,531,23015
首都经济贸易大学,哲学类,广东,2023,历史类,574,8105
北京体育大学,哲学类,广东,2023,历史类,573,8334
北京体育大学(中外合作办学),教育学类,广东,2023,历史类,501,39343
北京体育大学,外国语言文学类,广东,2023,历史类,571,8867
中央美术学院,哲学类,广东,2023,历史类,606,2645
中央戏剧学院,哲学类,广东,2023,历史类,572,8502
中国戏曲学院,哲学类,广东,2023,历史类,557,12737
北京电影学院,哲学类,广东,2023,历史类,583,6150
中央民族大学,哲学类,广东,2023,历史类,604,2871
中央民族大学,数学类,广东,2023,历史类,604,2858
中国政法大学,哲学类,广东,2023,历史类,612,2031
中国政法大学,数学类,广东,2023,历史类,608,2416
中国政法大学,物理学类,广东,2023,历史类,621,1334
中国政法大学,体育学类,广东,2023,历史类,613,1962
华北电力大学(北京),哲学类,广东,2023,历史类,589,5050
华北电力大学(北京),数学类,广东,2023,历史类,585,5821
南开大学,哲学类,广东,2023,历史类,630,846
天津科技大学,哲学类,广东,2023,历史类,531,22870
天津科技大学(中外合作办学),经济学类,广东,2023,历史类,531,22911
中国民航大学,哲学类,广东,2023,历史类,549,15455
中国民航大学,物理学类,广东,2023,历史类,547,16297
天津中医药大学,哲学类,广东,2023,历史类,553,14244
天津中医药大学,数学类,广东,2023,历史类,574,8090
天津中医药大学,管理学类,广东,2023,历史类,548,16032
天津师范大学,哲学类,广东,2023,历史类,564,10687
天津外国语大学,哲学类,广东,2023,历史类,527,24950
天津外国语大学,数学类,广东,2023,历史类,509,34526
天津外国语大学,物理学类,广东,2023,历史类,554,13745
天津商业大学,哲学类,广东,2023,历史类,521,27812
天津商业大学,数学类,广东,2023,历史类,522,27257
天津商业大学(中外合作办学),体育学类,广东,2023,历史类,505,36396
天津财经大学,哲学类,广东,2023,历史类,544,17497
天津财经大学(中外合作办学),体育学类,广东,2023,历史类,535,21352
天津体育学院,哲学类,广东,2023,历史类,498,41075
河北地质大学,哲学类,广东,2023,历史类,506,36224
华北电力大学(保定),哲学类,广东,2023,历史类,571,8727
华北理工大学,哲学类,广东,2023,历史类,482,52365
华北理工大学,数学类,广东,2023,历史类,533,21923
华北理工大学,物理学类,广东,2023,历史类,534,21555
